Fragment,Date.1,X.1,Rep.1,BW.1,AW_kelsey.1,Notes.1,Date.2,X.2,Rep.2,BW.2,AW_kelsey.2,Notes.2,Date.3,X.3,Rep.3,BW.3,AW_kelsey.3,Notes.3,Date.4,X.4,Rep.4,BW.4,AW_kelsey.4,Notes.4,Date.5,X.5,Rep.5,BW.5,AW_kelsey.5,Notes.5,Date.6,X.6,Rep.6,BW.6,AW_kelsey.6,Notes.6,Date.7,X.7,Rep.7,BW.7,AW_kelsey.7,Notes.7,Date.8,X.8,Rep.8,BW.8,AW_kelsey.8,Notes.8,Date.9,X.9,Rep.9,BW.9,AW_kelsey.9,Notes.9,Date.10,X.10,Rep.10,BW.10,AW_kelsey.10,Notes.10
320G,10/4/19,NA,NA,4.204,7.859629963,,10/10/19,NA,Top,4.363,8.153329286,,NA,NA,NA,NA,NA,NA,10/24/19,NA,Top,4.987,9.314366359,,11/4/19,NA,Top,5.569,10.40075045,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/6/19,NA,Control,6.925,12.9543589,,NA,NA,NA,NA,NA,NA,12/19/19,NA,Control,7.505,14.03158788,
322G,10/4/19,NA,NA,3.991,7.461413697,,10/10/19,NA,Bottom,4.071,7.606869262,,10/17/19,NA,Bottom,4.162,7.770527815,,10/24/19,NA,Bottom,4.193,7.833431002,,11/1/19,NA,Top,4.431,8.27360639,,11/17/19,NA,Bottom,4.701,8.789586915,,11/21/19,NA,Bottom,4.787,5.48934029,,12/6/19,NA,Bottom,5.171,9.67045206,,12/12/19,NA,Bottom,5.387,10.07215371,,12/19/19,NA,Bottom,5.701,10.65683366,
323B,10/4/19,NA,NA,7.193,13.4463567,,10/10/19,NA,Top,7.393,13.81455273,,10/17/19,NA,Top,7.525,14.05291107,,10/24/19,NA,Top,7.816,14.59817274,,11/4/19,NA,Top,8.322,15.54189071,,11/17/19,NA,Top,8.973,16.77486876,,11/21/19,NA,Top,9.195,10.54425487,,12/5/19,NA,Top,9.957,18.60951794,,12/12/19,NA,Top,10.34,19.33541369,,12/19/19,NA,Top,10.796,20.17334627,
324B,10/4/19,NA,NA,5.843,10.92271127,,NA,NA,NA,NA,NA,NA,10/17/19,NA,Top,6.258,11.68560376,,10/24/19,NA,Top,6.494,12.13030878,,11/4/19,NA,Top,6.989,13.05276439,,11/17/19,NA,Top,7.666,14.3314548,,11/21/19,NA,Top,7.877,9.032892742,,12/5/19,NA,Top,8.686,16.23886829,,12/12/19,NA,Top,9.086,16.98913274,,12/19/19,NA,Top,9.532,17.81621436,
325B,10/4/19,NA,NA,4.466,8.350307708,,10/10/19,NA,Bottom,4.59,8.576646994,,10/17/19,NA,Bottom,4.723,8.818153464,,10/24/19,NA,Bottom,4.792,8.952492574,,11/1/19,NA,Top,5.151,9.614269672,,11/14/19,NA,Control,5.445,10.18079388,,11/25/19,NA,Control,5.765,6.610353867,,12/6/19,NA,Control,6.01,11.24154383,,12/13/19,NA,Control,6.185,11.55881419,,12/19/19,NA,Control,6.317,11.8101606,
325G,10/4/19,NA,NA,7.434,13.89687414,,10/10/19,NA,Top,7.623,14.24506719,,10/17/19,NA,Top,7.823,14.60793836,,10/24/19,NA,Top,8.26,15.425808,,11/4/19,NA,Top,8.907,16.63485083,,11/17/19,NA,Top,9.745,18.21810945,,NA,NA,NA,NA,NA,NA,12/5/19,NA,Top,10.936,20.43813431,,12/12/19,NA,Top,11.553,21.60196462,,12/19/19,NA,Top,12.131,22.67158067,
326B,10/4/19,NA,NA,5.601,10.47032446,,10/10/19,NA,Bottom,5.824,10.88243836,,10/17/19,NA,Bottom,6.056,11.30607072,,10/24/19,NA,Bottom,6.192,11.5670987,,11/1/19,NA,Top,6.621,12.36185191,,11/17/19,NA,Bottom,7.291,13.63182551,,11/21/19,NA,Bottom,7.473,8.569425525,,12/6/19,NA,Bottom,8.262,15.45102977,,12/12/19,NA,Bottom,8.672,16.21242907,,12/19/19,NA,Bottom,9.277,17.34142184,
326G,10/4/19,NA,NA,10.943,20.45541921,,10/10/19,NA,Bottom,11.19,20.90799109,,10/17/19,NA,Top,11.475,21.4295222,,10/24/19,NA,Top,11.915,22.25399542,,11/4/19,NA,Top,12.645,23.61599739,,11/14/19,NA,Control,13.232,24.74054447,,11/25/19,NA,Control,13.88,15.91494451,,12/6/19,NA,Control,14.534,27.18545723,,12/13/19,NA,Control,14.923,27.88953906,,12/19/19,NA,Control,15.237,28.48758222,
328G,10/4/19,NA,NA,11.791,22.04170608,,10/10/19,NA,Top,12.131,22.66973128,,10/17/19,NA,Top,12.632,23.58901845,,10/24/19,NA,Top,12.026,22.46425949,,11/4/19,NA,Top,12.731,23.77599263,,11/17/19,NA,Top,13.873,25.93533426,,11/22/19,NA,Top,14.348,16.45256503,,NA,NA,NA,NA,NA,NA,12/12/19,NA,Top,16.526,30.89973007,,12/19/19,NA,Top,17.316,32.36439293,
32B,10/4/19,NA,NA,5.839,10.91523381,,10/10/19,NA,Top,5.911,11.04614472,,10/17/19,NA,Top,6.059,11.31458698,,10/24/19,NA,Top,6.257,11.68669072,,11/4/19,NA,Top,6.618,12.35987906,,11/17/19,NA,Top,6.92,12.93682067,,11/25/19,NA,Top,7.17,8.221413381,,12/5/19,NA,Top,7.397,13.82528614,,12/12/19,NA,Top,7.63,14.26781494,,12/19/19,NA,Top,7.9,14.76189659,
32W,10/4/19,NA,NA,5.972,11.16501193,,10/10/19,NA,Top,6.038,11.28260103,,10/17/19,NA,Top,6.041,11.28097375,,10/24/19,NA,Top,6.18,11.54134303,,11/4/19,NA,Top,6.416,11.98262074,,11/17/19,NA,Top,6.688,12.50310067,,11/22/19,NA,Top,6.794,7.790544105,,12/5/19,NA,Top,7.102,13.27679771,,12/12/19,NA,Top,7.33,13.70500959,,12/19/19,NA,Top,7.584,14.17446503,
330B,10/4/19,NA,NA,4.692,8.771069878,,10/10/19,NA,Bottom,4.876,9.110815373,,10/17/19,NA,Bottom,5.07,9.465533805,,10/24/19,NA,Bottom,5.211,9.734267755,,11/1/19,NA,Top,5.572,10.40409271,,11/17/19,NA,Bottom,6.175,11.54405601,,11/21/19,NA,Bottom,6.328,7.256433123,,12/6/19,NA,Bottom,7.025,13.13973414,,12/12/19,NA,Bottom,7.328,13.70127016,,12/19/19,NA,Bottom,7.752,14.49263867,
331B,10/4/19,NA,NA,5.518,10.3172857,,10/10/19,NA,Bottom,5.607,10.47669028,,10/17/19,NA,Bottom,5.774,10.7801604,,10/24/19,NA,Bottom,5.803,10.84041889,,11/1/19,NA,Top,6.085,11.35905395,,11/17/19,NA,Bottom,6.476,12.10803758,,11/21/19,NA,Bottom,6.627,7.599301881,,12/6/19,NA,Bottom,7.14,13.35413935,,12/12/19,NA,Bottom,7.411,13.85571569,,12/19/19,NA,Bottom,7.774,14.53376845,
331G,10/4/19,NA,NA,6.538,12.22318285,,10/10/19,NA,Top,6.695,12.51091759,,10/17/19,NA,Top,6.922,12.92681069,,10/24/19,NA,Top,7.26,13.56113979,,11/4/19,NA,Top,7.855,14.66973703,,11/17/19,NA,Top,8.592,16.06259583,,11/22/19,NA,Top,8.88,10.18251864,,12/5/19,NA,Top,9.817,18.35085728,,12/12/19,NA,Top,10.386,19.42040612,,12/19/19,NA,Top,11,20.55840768,
332B,10/4/19,NA,NA,5.113,9.558073377,,10/10/19,NA,Bottom,5.309,9.919876705,,10/17/19,NA,Bottom,5.494,10.25739544,,10/24/19,NA,Bottom,5.633,10.52284673,,11/1/19,NA,Top,6.024,11.24430273,,11/17/19,NA,Bottom,6.626,12.38816639,,11/21/19,NA,Bottom,6.788,7.783889988,,12/6/19,NA,Bottom,7.496,14.01997599,,12/12/19,NA,Bottom,7.845,14.66791272,,12/19/19,NA,Bottom,8.335,15.58054878,
332G,10/4/19,NA,NA,6.571,12.28456255,,10/10/19,NA,Top,6.708,12.53553354,,10/17/19,NA,Top,6.996,13.06434239,,10/24/19,NA,Top,7.377,13.77968708,,11/4/19,NA,Top,8.024,14.98574639,,11/14/19,NA,Control,8.501,15.89475276,,11/25/19,NA,Control,9.14,10.48001389,,12/6/19,NA,Control,9.762,18.26050049,,12/13/19,NA,Control,10.153,18.97388735,,12/19/19,NA,Control,10.375,19.39743161,
334G,10/4/19,NA,NA,7.763,14.51151906,,10/10/19,NA,Top,8.037,15.0187072,,10/17/19,NA,Top,8.436,15.75097758,,10/24/19,NA,Top,8.816,16.46633617,,11/4/19,NA,Top,9.598,17.92537311,,11/17/19,NA,Top,10.628,19.86886272,,11/22/19,NA,Top,11.047,12.66737426,,12/5/19,NA,Top,12.318,23.02471303,,12/12/19,NA,Top,13.106,24.50578623,,12/19/19,NA,Top,13.788,25.77040019,
336G,10/4/19,NA,NA,5.752,10.75259888,,10/10/19,NA,Bottom,5.97,11.15524674,,10/17/19,NA,Bottom,6.223,11.61845137,,10/24/19,NA,Bottom,6.386,11.93042938,,11/1/19,NA,Top,6.913,12.90637434,,11/17/19,NA,Bottom,7.758,14.50382814,,11/21/19,NA,Bottom,7.978,9.148478834,,12/6/19,NA,Bottom,8.885,16.6182932,,12/12/19,NA,Bottom,9.305,17.3958317,,12/19/19,NA,Bottom,9.98,18.65553411,
337G,10/4/19,NA,NA,7.255,13.56504309,,10/10/19,NA,Bottom,7.467,13.95246691,,10/17/19,NA,Bottom,7.714,14.40180035,,10/24/19,NA,Bottom,7.907,14.77045771,,11/1/19,NA,Top,8.322,15.53411958,,11/14/19,NA,Control,8.809,16.47063605,,11/25/19,NA,Control,9.321,10.68755027,,12/6/19,NA,Control,9.8,18.33063719,,12/13/19,NA,Control,10.075,18.82912994,,12/19/19,NA,Control,10.257,19.17632061,
338B,10/4/19,NA,NA,6.46,12.0761107,,10/10/19,NA,Bottom,6.686,12.49312893,,10/17/19,NA,Bottom,6.951,12.97730286,,10/24/19,NA,Bottom,7.141,13.33989855,,11/1/19,NA,Top,7.626,14.23825444,,11/17/19,NA,Bottom,8.386,15.67748239,,11/21/19,NA,Bottom,8.59,9.850520332,,12/6/19,NA,Bottom,9.416,17.61191981,,12/12/19,NA,Bottom,9.819,18.35725577,,12/19/19,NA,Bottom,10.423,19.48464917,
33B,10/4/19,NA,NA,3.511,6.564528544,,10/10/19,NA,Top,3.548,6.630303073,,10/17/19,NA,Top,3.57,6.666624119,,10/24/19,NA,Top,3.684,6.881077317,,11/4/19,NA,Top,3.838,7.167721287,,11/14/19,NA,Control,3.892,7.27725533,,11/22/19,NA,Control,3.959,4.539887009,,12/6/19,NA,Control,4.15,7.76306319,,12/13/19,NA,Control,4.253,7.949681144,,12/19/19,NA,Control,4.3,8.03941744,
33W,10/4/19,NA,NA,7.411,13.85672423,,10/10/19,NA,Top,7.505,14.02383582,,10/17/19,NA,Top,7.518,14.0398386,,10/24/19,NA,Top,7.703,14.38597603,,11/4/19,NA,Top,7.994,14.92932881,,11/14/19,NA,Control,8.172,15.2796047,,11/22/19,NA,Control,8.357,9.583228468,,12/6/19,NA,Control,8.629,16.14031309,,12/13/19,NA,Control,8.746,16.34316999,,12/19/19,NA,Control,8.808,16.46856429,
340G,10/4/19,NA,NA,4.838,9.045855059,,10/10/19,NA,Bottom,4.871,9.101235443,,10/17/19,NA,Bottom,4.839,9.034263922,,10/24/19,NA,Bottom,4.779,8.927281827,,11/1/19,NA,Top,5.008,9.350986414,,11/17/19,NA,Bottom,5.118,9.569014258,,11/21/19,NA,Bottom,5.152,5.907917838,,NA,NA,NA,NA,NA,NA,12/12/19,NA,Bottom,5.278,9.868354793,,12/19/19,NA,Bottom,5.345,9.992666886,
342G,10/4/19,NA,NA,4.883,9.129061159,,10/10/19,NA,Top,4.995,9.334134934,,10/17/19,NA,Top,5.17,9.652981754,,10/24/19,NA,Top,5.305,9.908565491,,11/4/19,NA,Top,5.67,10.58937961,,11/17/19,NA,Top,6.117,11.43562601,,11/21/19,NA,Top,6.264,7.183166125,,12/5/19,NA,Top,6.922,12.94133619,,12/12/19,NA,Top,7.286,13.623467,,12/19/19,NA,Top,7.726,14.44062863,
343B,10/4/19,NA,NA,9.855,18.4226116,,10/10/19,NA,Bottom,10.269,19.18864358,,10/17/19,NA,Bottom,10.749,20.06857364,,10/24/19,NA,Bottom,11.16,20.84875669,,11/1/19,NA,Top,11.983,22.3747744,,11/17/19,NA,Bottom,13.493,25.22426668,,11/21/19,NA,Bottom,13.896,15.93513743,,12/6/19,NA,Bottom,15.447,28.89245172,,12/12/19,NA,Bottom,16.128,30.15233944,,12/19/19,NA,Bottom,17.229,32.21105857,
343G,10/4/19,NA,NA,4.138,7.734836494,,10/10/19,NA,Top,4.067,7.599789072,,10/17/19,NA,Top,4.14,7.730648703,,10/24/19,NA,Top,4.021,7.511124845,,11/4/19,NA,Top,4.133,7.718653486,,11/17/19,NA,Top,4.185,7.823785331,,11/21/19,NA,Top,4.206,4.823158992,,12/5/19,NA,Top,4.077,7.619865889,,12/12/19,NA,Top,4.096,7.658759379,MOSTLY DEAD,12/19/19,NA,Top,4.121,7.701101928,MOSTLY DEAD
345G,10/4/19,NA,NA,3.962,7.406239664,,10/10/19,NA,Top,4.011,7.495531461,,10/17/19,NA,Top,4.167,7.780265951,,10/24/19,NA,Top,4.304,8.039130502,,11/4/19,NA,Top,4.624,8.63585385,,11/17/19,NA,Top,4.983,9.315632569,,11/22/19,NA,Top,5.125,5.098139401,,12/5/19,NA,Top,5.635,10.53347059,,12/12/19,NA,Top,5.945,11.11604602,,12/19/19,NA,Top,6.259,11.69553301,
346B,10/4/19,NA,NA,12.558,23.47551056,,10/10/19,NA,Bottom,13.113,24.50166571,,10/17/19,NA,Bottom,13.72,25.61481732,,10/24/19,NA,Bottom,8.753,16.35207592,,11/1/19,NA,Top,9.331,17.41572219,,11/17/19,NA,Bottom,10.414,19.46930475,,11/21/19,NA,Bottom,10.725,12.29855329,,12/6/19,NA,Bottom,12.002,22.44473217,,12/12/19,NA,Bottom,12.54,23.44497028,,12/19/19,NA,Bottom,13.376,25.00560829,
347B,10/4/19,NA,NA,8.223,15.374962,,10/10/19,NA,Bottom,8.561,15.9966612,,10/17/19,NA,Bottom,8.969,16.74484669,,10/24/19,NA,Bottom,9.264,17.30715593,,11/1/19,NA,Top,9.93,18.54139279,,11/14/19,NA,Control,10.696,19.99885608,,11/25/19,NA,Control,11.503,13.18951235,,12/6/19,NA,Control,12.199,22.81907862,,12/13/19,NA,Control,12.659,23.65898935,,12/19/19,NA,Control,12.964,24.23728384,
349G,10/4/19,NA,NA,4.751,8.883186727,,10/10/19,NA,Top,4.797,8.964133188,,10/17/19,NA,Top,4.982,9.301964235,,10/24/19,NA,Top,5.112,9.549084857,,11/4/19,NA,Top,5.483,10.24013552,,11/14/19,NA,Control,5.747,10.74573134,,11/25/19,NA,Control,6.151,7.052828865,,12/6/19,NA,Control,6.571,12.29087928,,12/13/19,NA,Control,6.861,12.82283956,,12/19/19,NA,Control,7.059,13.19773203,
34B,10/4/19,NA,NA,5.831,10.90027887,,10/10/19,NA,Top,5.922,11.06641583,,10/17/19,NA,Top,6.061,11.31774439,,10/24/19,NA,Top,6.218,11.6129267,,11/4/19,NA,Top,6.556,12.24376778,,11/17/19,NA,Top,6.924,12.9442986,,11/21/19,NA,Top,7.04,8.073034725,,12/5/19,NA,Top,7.523,14.06269729,,12/12/19,NA,Top,7.802,14.58829118,,12/19/19,NA,Top,8.078,15.09694408,
350B,10/4/19,NA,NA,9.265,17.31968509,,10/10/19,NA,Bottom,9.661,18.05159707,,10/17/19,NA,Bottom,10.13,18.91288966,,10/24/19,NA,Bottom,10.563,19.73192675,,11/1/19,NA,Top,11.266,21.02838497,,11/17/19,NA,Bottom,12.65,23.65143227,,11/21/19,NA,Bottom,13.012,14.92109794,,12/6/19,NA,Bottom,14.507,27.13000349,,12/12/19,NA,Bottom,15.192,28.40318887,,12/19/19,NA,Bottom,16.262,30.40317107,
350G,10/4/19,NA,NA,5.769,10.78659319,,10/10/19,NA,Top,5.801,10.8405829,,10/17/19,NA,Top,5.973,11.15227466,,10/24/19,NA,Top,6.092,11.3794027,,11/4/19,NA,Top,6.449,12.04425205,,11/14/19,NA,Control,6.712,12.54944904,,11/22/19,NA,Control,7.003,8.030555099,,12/6/19,NA,Control,7.588,14.19461015,,12/13/19,NA,Control,7.903,14.769096,,12/19/19,NA,Control,8.144,15.2270649,
352G,10/4/19,NA,NA,10.122,18.92173259,,10/10/19,NA,Bottom,10.455,19.53569593,,10/17/19,NA,Bottom,10.848,20.2534084,,10/24/19,NA,Bottom,11.154,20.83754768,,11/1/19,NA,Top,11.853,22.12462156,,11/17/19,NA,Bottom,13.007,24.3182735,,11/21/19,NA,Bottom,13.299,15.25014039,,12/6/19,NA,Bottom,14.613,27.33251744,,12/12/19,NA,Bottom,15.323,28.64810842,,12/19/19,NA,Bottom,16.316,30.5041286,
353G,10/4/19,NA,NA,4.59,8.582156825,,10/10/19,NA,Bottom,4.726,8.830540085,,10/17/19,NA,Bottom,4.868,9.088406029,,10/24/19,NA,Bottom,4.938,9.224297481,,11/1/19,NA,Top,5.284,9.864059193,,11/14/19,NA,Control,5.595,10.46125652,,11/25/19,NA,Control,5.886,6.74900622,,12/6/19,NA,Control,6.191,11.58039833,,12/13/19,NA,Control,6.37,11.90486925,,12/19/19,NA,Control,6.519,12.18813077,
354G,10/4/19,NA,NA,9.859,18.42961051,,10/10/19,NA,Bottom,10.223,19.10169515,,10/17/19,NA,Bottom,10.675,19.93041433,,10/24/19,NA,Bottom,11.075,20.68781588,,11/1/19,NA,Top,11.802,22.03456337,,11/17/19,NA,Bottom,13.027,24.35375185,,11/21/19,NA,Bottom,13.37,15.33188555,,12/6/19,NA,Bottom,14.846,27.76688415,,12/12/19,NA,Bottom,15.621,29.20447014,,12/19/19,NA,Bottom,16.732,31.28106686,
355G,10/4/19,NA,NA,7.554,14.12409862,,10/10/19,NA,Bottom,7.742,14.46631831,,10/17/19,NA,Bottom,7.934,14.81253357,,10/24/19,NA,Bottom,8.1,15.13098615,,11/1/19,NA,Top,8.505,15.87654131,,11/14/19,NA,Control,8.94,16.71557342,,11/22/19,NA,Control,9.266,10.62560668,,12/6/19,NA,Control,9.834,18.39518151,,12/13/19,NA,Control,10.151,18.97116605,,12/19/19,NA,Control,10.419,19.47969542,
356G,10/4/19,NA,NA,8.752,16.36280807,,10/10/19,NA,Bottom,9.032,16.87630936,,10/17/19,NA,Bottom,8.4,15.68254122,,10/24/19,NA,Bottom,9.663,18.05117486,,11/1/19,NA,Top,10.276,19.18001071,,11/17/19,NA,Bottom,11.323,21.16981708,,11/21/19,NA,Bottom,11.594,13.29499418,,12/6/19,NA,Bottom,12.854,24.03867545,,12/12/19,NA,Bottom,13.529,25.29401937,,12/19/19,NA,Bottom,14.488,27.08512745,
357B,10/4/19,NA,NA,5.161,9.647301336,,10/10/19,NA,Bottom,5.189,9.69590877,,10/17/19,NA,Bottom,5.314,9.920815689,,10/24/19,NA,Bottom,5.362,10.01659936,,11/1/19,NA,Top,5.675,10.59451801,,11/17/19,NA,Bottom,6.162,11.51975274,,11/21/19,NA,Bottom,6.298,7.222155213,,12/6/19,NA,Bottom,6.822,12.75803983,,12/12/19,NA,Bottom,7.116,13.30346463,,12/19/19,NA,Bottom,7.586,14.18192827,
357G,10/4/19,NA,NA,8.916,16.66684322,,10/10/19,NA,Bottom,9.193,17.17758515,,10/17/19,NA,Bottom,9.531,17.79408337,,10/24/19,NA,Bottom,9.791,18.29028801,,11/1/19,NA,Top,10.444,19.5011386,,11/17/19,NA,Bottom,11.551,21.59552826,,11/21/19,NA,Bottom,11.847,13.58511265,,12/6/19,NA,Bottom,13.124,24.54296492,,12/12/19,NA,Bottom,13.82,25.83807729,,12/19/19,NA,Bottom,14.821,27.70838464,
360G,10/4/19,NA,NA,5.338,9.978162087,,10/10/19,NA,Bottom,5.319,9.938302468,,10/17/19,NA,Bottom,5.353,9.994145938,,10/24/19,NA,Bottom,5.321,9.940008428,,11/1/19,NA,Top,5.542,10.34568812,,11/14/19,NA,Control,5.647,10.55848357,,11/25/19,NA,Control,5.766,6.611352307,,12/6/19,NA,Control,5.873,10.9858553,,12/13/19,NA,Control,5.97,11.15550919,,12/19/19,NA,Control,6.002,11.22124172,
361B,10/4/19,NA,NA,6.602,12.34409572,,10/10/19,NA,Top,6.574,12.28512187,,10/17/19,NA,Top,6.653,12.4219125,,10/24/19,NA,Top,6.635,12.39271103,,11/4/19,NA,Top,6.792,12.68451354,,11/17/19,NA,Top,6.921,12.93869015,,11/22/19,NA,Top,6.961,7.98203967,,12/5/19,NA,Top,6.207,11.60270665,,12/12/19,NA,Top,6.252,11.69069803,MOSTLY DEAD,12/19/19,NA,Top,6.301,11.77716814,MOSTLY DEAD
361G,10/4/19,NA,NA,5.021,9.387780637,,10/10/19,NA,Bottom,5.055,9.445277217,,10/17/19,NA,Bottom,5.102,9.52527682,,10/24/19,NA,Bottom,5.073,9.476726697,,11/1/19,NA,Top,5.287,9.867851595,,11/17/19,NA,Bottom,5.467,10.22126557,,11/21/19,NA,Bottom,5.504,6.31151009,,12/6/19,NA,Bottom,5.687,10.63682988,,12/12/19,NA,Bottom,5.77,10.78738831,,12/19/19,NA,Bottom,5.928,11.08174233,
366B,10/4/19,NA,NA,5.98,11.17852428,,10/10/19,NA,Bottom,6.021,11.25054282,,10/17/19,NA,Bottom,6.053,11.30046996,,10/24/19,NA,Bottom,6.065,11.32955938,,11/1/19,NA,Top,6.145,11.46985848,,11/17/19,NA,Bottom,6.243,11.67209821,,11/21/19,NA,Bottom,6.27,7.18989249,,12/6/19,NA,Bottom,6.375,11.92209087,,12/12/19,NA,Bottom,6.403,11.97050085,,12/19/19,NA,Bottom,6.457,12.07064949,CHOPPED CAUSE OF RED ALGAE
366G,10/4/19,NA,NA,5.232,9.78253693,,10/10/19,NA,Top,5.258,9.825348154,,10/17/19,NA,Top,5.196,9.702524314,,10/24/19,NA,Top,5.256,9.817044339,,11/4/19,NA,Top,5.377,10.04190656,,11/17/19,NA,Top,5.448,10.18494205,,11/21/19,NA,Top,5.468,6.270336036,,12/5/19,NA,Top,5.44,10.16950693,,12/12/19,NA,Top,5.476,10.23855833,MOSTLY DEAD,12/19/19,NA,Top,5.501,10.28189207,MOSTLY DEAD
367B,10/4/19,NA,NA,7.627,14.26059044,,10/10/19,NA,Bottom,7.859,14.68455661,,10/17/19,NA,Bottom,8.145,15.20646407,,10/24/19,NA,Bottom,8.284,15.47510427,,11/1/19,NA,Top,8.707,16.25404303,,11/14/19,NA,Control,8.992,16.81280047,,11/22/19,NA,Control,9.19,10.53845514,,12/6/19,NA,Control,9.664,18.07718467,,12/13/19,NA,Control,9.891,18.48226825,,12/19/19,NA,Control,10.013,18.72014217,
367G,10/4/19,NA,NA,5.141,9.609915941,,10/10/19,NA,Top,5.134,9.593883633,,10/17/19,NA,Top,5.133,9.585859473,,10/24/19,NA,Top,5.298,9.896269778,,11/4/19,NA,Top,5.525,10.31830644,,11/14/19,NA,Control,5.676,10.61270635,,11/25/19,NA,Control,5.862,6.721487336,,12/6/19,NA,Control,6.022,11.26514791,,12/13/19,NA,Control,6.157,11.50710146,,12/19/19,NA,Control,6.225,11.63875829,
368G,10/4/19,NA,NA,4.942,9.238411624,,10/10/19,NA,Top,5.105,9.539198119,,10/17/19,NA,Top,5.212,9.733391696,,10/24/19,NA,Top,5.501,10.2746501,,11/4/19,NA,Top,5.917,11.05096793,,11/17/19,NA,Top,6.391,11.94786429,,11/21/19,NA,Top,6.559,7.521453802,,12/5/19,NA,Top,7.311,13.66379946,,12/12/19,NA,Top,7.7,14.39833251,,12/19/19,NA,Top,8.142,15.21409646,
369G,10/4/19,NA,NA,4.299,8.038059301,,10/10/19,NA,Top,4.361,8.149591798,,10/17/19,NA,Top,4.479,8.364092277,,10/24/19,NA,Top,4.674,8.730912093,,11/4/19,NA,Top,4.989,9.31753349,,11/14/19,NA,Control,5.147,9.6236081,,11/22/19,NA,Control,5.315,6.094873676,,12/6/19,NA,Control,5.583,10.44285178,,12/13/19,NA,Control,5.671,10.59679944,,12/19/19,NA,Control,5.707,10.67053774,
370G,10/4/19,NA,NA,7.157,13.38180749,,10/10/19,NA,Bottom,7.221,13.49280347,,10/17/19,NA,Bottom,7.218,13.47613402,,10/24/19,NA,Bottom,7.156,13.36895594,,11/1/19,NA,Top,7.318,13.66108728,,11/17/19,NA,Bottom,7.31,13.66627787,,11/21/19,NA,Bottom,7.335,8.411178406,,12/6/19,NA,Bottom,7.37,13.78250925,,12/12/19,NA,Bottom,7.401,13.83627624,,12/19/19,NA,Bottom,7.431,13.89070881,MOSTLY DEAD
371G,10/4/19,NA,NA,6.227,11.64054819,,10/10/19,NA,Top,6.445,12.04312084,,10/17/19,NA,Top,6.692,12.49472996,,10/24/19,NA,Top,6.919,12.92417716,,11/4/19,NA,Top,7.488,13.98434002,,11/17/19,NA,Top,8.086,15.11663756,,11/21/19,NA,Top,8.315,9.535125531,,12/5/19,NA,Top,9.169,17.13675505,,12/12/19,NA,Top,9.602,17.95395692,,12/19/19,NA,Top,10.062,18.80179791,
372B,10/4/19,NA,NA,4.758,8.895137515,,10/10/19,NA,Bottom,4.836,9.036310428,,10/17/19,NA,Bottom,4.969,9.277211128,,10/24/19,NA,Bottom,5.004,9.348313482,,11/1/19,NA,Top,5.305,9.903261548,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/6/19,NA,Control,5.805,10.85921349,,12/13/19,NA,Control,5.925,11.07321041,,12/19/19,NA,Control,5.963,11.14832795,
374B,10/4/19,NA,NA,5.134,9.596831052,,10/10/19,NA,Top,5.15,9.623782764,,10/17/19,NA,Top,5.296,9.888238176,,10/24/19,NA,Top,5.403,10.09187317,,11/4/19,NA,Top,5.704,10.65287854,,11/17/19,NA,Top,5.995,11.20754912,,11/21/19,NA,Top,6.094,6.988220684,,NA,NA,NA,NA,NA,NA,12/12/19,NA,Top,6.663,12.45857269,,12/19/19,NA,Top,6.927,12.94722166,
374G,10/4/19,NA,NA,4.681,8.750506841,,10/10/19,NA,Bottom,4.853,9.068075787,,10/17/19,NA,Bottom,4.92,9.185727259,,10/24/19,NA,Bottom,5.194,9.702763348,,11/1/19,NA,Top,5.599,10.45450737,,11/17/19,NA,Bottom,6.107,11.41693119,,11/21/19,NA,Bottom,6.268,7.187753076,,12/6/19,NA,Bottom,6.989,13.07205979,,12/12/19,NA,Bottom,7.337,13.71736419,,12/19/19,NA,Bottom,7.757,14.50236121,
375G,10/4/19,NA,NA,5.63,10.52535187,,10/10/19,NA,Bottom,5.821,10.87683271,,10/17/19,NA,Bottom,6.119,11.42398449,,10/24/19,NA,Bottom,6.305,11.77819078,,11/1/19,NA,Top,6.819,12.729234,,11/14/19,NA,Control,7.257,13.56878259,,11/25/19,NA,Control,7.56,8.668370351,,12/6/19,NA,Control,7.937,14.84594565,,12/13/19,NA,Control,8.159,15.24791673,,12/19/19,NA,Control,8.274,15.46933486,
377B,10/4/19,NA,NA,13.684,25.58567189,,10/10/19,NA,Top,13.942,26.05402634,,10/17/19,NA,Top,14.233,26.57532584,,10/24/19,NA,Top,10.781,20.13863142,,11/4/19,NA,Top,11.139,20.80336852,,11/17/19,NA,Top,11.664,21.80564686,,11/21/19,NA,Top,11.97,13.72645251,,12/5/19,NA,Top,9.396,17.56101543,,12/12/19,NA,Top,9.632,18.01052876,,12/19/19,NA,Top,9.944,18.58130376,
